metric,mechanism,rate,method_a,method_b,statistic,raw_p,adjusted_p,rank_biserial,significance_indicator,n_effective
nrmse,MAR,0.1,Mean/Mode,RF-iterative,8.0,0.1953125,1.0,0.5555555555555556,,8
nrmse,MAR,0.1,MICE,RF-iterative,3.0,0.0390625,0.234375,-0.8333333333333334,,8
pfc,MAR,0.1,KNN,Mean/Mode,1.0,0.015625,0.09375,0.9444444444444444,,8
pfc,MAR,0.1,KNN,MICE,9.0,0.2421875,1.0,-0.5,,8
pfc,MAR,0.1,KNN,RF-iterative,4.0,0.21875,1.0,-0.6190476190476191,,6
pfc,MAR,0.1,Mean/Mode,MICE,0.0,0.0078125,0.046875,-1.0,*,8
pfc,MAR,0.1,Mean/Mode,RF-iterative,0.0,0.0078125,0.046875,-1.0,*,8
pfc,MAR,0.1,MICE,RF-iterative,13.5,0.984375,1.0,0.03571428571428571,,7
nrmse,MAR,0.2,KNN,Mean/Mode,17.0,0.9453125,1.0,0.05555555555555555,,8
nrmse,MAR,0.2,KNN,MICE,1.0,0.015625,0.09375,0.9444444444444444,,8
nrmse,MAR,0.2,KNN,RF-iterative,7.0,0.1484375,0.890625,-0.6111111111111112,,8
nrmse,MAR,0.2,Mean/Mode,MICE,0.0,0.0078125,0.046875,1.0,*,8
nrmse,MAR,0.2,Mean/Mode,RF-iterative,12.0,0.4609375,1.0,-0.3333333333333333,,8
nrmse,MAR,0.2,MICE,RF-iterative,0.0,0.0078125,0.046875,-1.0,*,8
pfc,MAR,0.2,KNN,Mean/Mode,0.0,0.0078125,0.046875,1.0,*,8
pfc,MAR,0.2,KNN,MICE,1.0,0.015625,0.09375,-0.9444444444444444,,8
pfc,MAR,0.2,KNN,RF-iterative,6.0,0.109375,0.65625,-0.6666666666666666,,8
pfc,MAR,0.2,Mean/Mode,MICE,0.0,0.0078125,0.046875,-1.0,*,8
pfc,MAR,0.2,Mean/Mode,RF-iterative,0.0,0.0078125,0.046875,-1.0,*,8
pfc,MAR,0.2,MICE,RF-iterative,8.0,0.1875,1.0,0.5555555555555556,,8
nrmse,MAR,0.3,KNN,Mean/Mode,16.0,0.84375,1.0,0.1111111111111111,,8
nrmse,MAR,0.3,KNN,MICE,0.0,0.0078125,0.046875,1.0,*,8
nrmse,MAR,0.3,KNN,RF-iterative,7.0,0.1484375,0.890625,-0.6111111111111112,,8
nrmse,MAR,0.3,Mean/Mode,MICE,0.0,0.0078125,0.046875,1.0,*,8
nrmse,MAR,0.3,Mean/Mode,RF-iterative,14.0,0.640625,1.0,-0.2222222222222222,,8
nrmse,MAR,0.3,MICE,RF-iterative,0.0,0.0078125,0.046875,-1.0,*,8
pfc,MAR,0.3,KNN,Mean/Mode,0.0,0.0078125,0.046875,1.0,*,8
pfc,MAR,0.3,KNN,MICE,7.0,0.1484375,0.890625,-0.6111111111111112,,8
pfc,MAR,0.3,KNN,RF-iterative,15.0,0.7421875,1.0,0.16666666666666666,,8
pfc,MAR,0.3,Mean/Mode,MICE,0.0,0.0078125,0.046875,-1.0,*,8
pfc,MAR,0.3,Mean/Mode,RF-iterative,0.0,0.0078125,0.046875,-1.0,*,8
pfc,MAR,0.3,MICE,RF-iterative,1.0,0.015625,0.09375,0.9444444444444444,,8
nrmse,MNAR,0.1,KNN,Mean/Mode,0.0,0.0078125,0.046875,-1.0,*,8
nrmse,MNAR,0.1,KNN,MICE,0.0,0.0078125,0.046875,1.0,*,8
nrmse,MNAR,0.1,KNN,RF-iterative,0.0,0.0078125,0.046875,1.0,*,8
nrmse,MNAR,0.1,Mean/Mode,MICE,0.0,0.0078125,0.046875,1.0,*,8
nrmse,MNAR,0.1,Mean/Mode,RF-iterative,0.0,0.0078125,0.046875,1.0,*,8
nrmse,MNAR,0.1,MICE,RF-iterative,10.0,0.3125,1.0,-0.4444444444444444,,8
pfc,MNAR,0.1,KNN,Mean/Mode,0.0,0.0078125,0.046875,-1.0,*,8
pfc,MNAR,0.1,KNN,MICE,0.0,0.0078125,0.046875,-1.0,*,8
pfc,MNAR,0.1,KNN,RF-iterative,12.0,0.4609375,1.0,-0.3333333333333333,,8
pfc,MNAR,0.1,Mean/Mode,MICE,2.0,0.0234375,0.140625,0.8888888888888888,,8
pfc,MNAR,0.1,Mean/Mode,RF-iterative,0.0,0.0078125,0.046875,1.0,*,8
pfc,MNAR,0.1,MICE,RF-iterative,0.0,0.0078125,0.046875,1.0,*,8
nrmse,MNAR,0.2,KNN,Mean/Mode,0.0,0.0078125,0.046875,-1.0,*,8
nrmse,MNAR,0.2,KNN,MICE,10.0,0.3125,1.0,0.4444444444444444,,8
nrmse,MNAR,0.2,KNN,RF-iterative,2.0,0.0234375,0.140625,0.8888888888888888,,8
nrmse,MNAR,0.2,Mean/Mode,MICE,0.0,0.0078125,0.046875,1.0,*,8
nrmse,MNAR,0.2,Mean/Mode,RF-iterative,0.0,0.0078125,0.046875,1.0,*,8
nrmse,MNAR,0.2,MICE,RF-iterative,0.0,0.0078125,0.046875,1.0,*,8
pfc,MNAR,0.2,KNN,Mean/Mode,0.0,0.0078125,0.046875,-1.0,*,8
pfc,MNAR,0.2,KNN,MICE,0.0,0.0078125,0.046875,-1.0,*,8
pfc,MNAR,0.2,KNN,RF-iterative,2.0,0.0234375,0.140625,0.8888888888888888,,8
pfc,MNAR,0.2,Mean/Mode,MICE,0.0,0.0078125,0.046875,-1.0,*,8
pfc,MNAR,0.2,Mean/Mode,RF-iterative,0.0,0.0078125,0.046875,1.0,*,8
pfc,MNAR,0.2,MICE,RF-iterative,0.0,0.0078125,0.046875,1.0,*,8
nrmse,MNAR,0.3,KNN,Mean/Mode,0.0,0.0078125,0.046875,-1.0,*,8
nrmse,MNAR,0.3,KNN,MICE,1.0,0.015625,0.09375,0.9444444444444444,,8
nrmse,MNAR,0.3,KNN,RF-iterative,0.0,0.0078125,0.046875,1.0,*,8
nrmse,MNAR,0.3,Mean/Mode,MICE,0.0,0.0078125,0.046875,1.0,*,8
nrmse,MNAR,0.3,Mean/Mode,RF-iterative,0.0,0.0078125,0.046875,1.0,*,8
nrmse,MNAR,0.3,MICE,RF-iterative,0.0,0.0078125,0.046875,1.0,*,8
pfc,MNAR,0.3,KNN,Mean/Mode,0.0,0.0078125,0.046875,-1.0,*,8
pfc,MNAR,0.3,KNN,MICE,0.0,0.03125,0.1875,-1.0,,6
pfc,MNAR,0.3,KNN,RF-iterative,0.0,0.0078125,0.046875,1.0,*,8
pfc,MNAR,0.3,Mean/Mode,MICE,0.0,0.0078125,0.046875,1.0,*,8
pfc,MNAR,0.3,Mean/Mode,RF-iterative,0.0,0.0078125,0.046875,1.0,*,8
pfc,MNAR,0.3,MICE,RF-iterative,0.0,0.0078125,0.046875,1.0,*,8
