method,mechanism,rate,seed,n_test_patients,shap_rmse,lime_mean_rho,lime_median_rho,lime_n_valid,lime_n_invalid
MICE,MCAR,0.2,44,60,0.033760623774340304,0.9065934065934066,0.9148351648351648,60,0
MICE,MCAR,0.2,45,60,0.021294133859622203,0.9068681318681318,0.9148351648351648,60,0
MICE,MCAR,0.2,46,60,0.028492959215853104,0.8706959706959708,0.8791208791208791,60,0
MICE,MCAR,0.2,47,60,0.014985936069307409,0.8941391941391942,0.9038461538461539,60,0
MICE,MCAR,0.2,48,60,0.02318472590927003,0.8816849816849818,0.8873626373626373,60,0
MICE,MCAR,0.2,49,60,0.019147369377327823,0.9239010989010988,0.9313186813186813,60,0
MICE,MCAR,0.3,42,60,0.01790935089366486,0.9316849816849817,0.9340659340659341,60,0
MICE,MCAR,0.3,43,60,0.022760431390342114,0.8858058608058609,0.8873626373626373,60,0
MICE,MCAR,0.3,44,60,0.017388686220621955,0.8386446886446887,0.8461538461538461,60,0
MICE,MCAR,0.3,45,60,0.029250454101296623,0.8832417582417583,0.8818681318681318,60,0
MICE,MCAR,0.3,46,60,0.035057512608315244,0.9053113553113553,0.9065934065934067,60,0
MICE,MCAR,0.3,47,60,0.03235714799396453,0.8705128205128204,0.8791208791208791,60,0
MICE,MCAR,0.3,48,60,0.022524103862972863,0.871062271062271,0.8818681318681318,60,0
MICE,MCAR,0.3,49,60,0.05280594541600682,0.8824175824175824,0.8901098901098902,60,0
MICE,MNAR,0.1,42,60,0.015815552935148847,0.9081501831501833,0.9120879120879121,60,0
MICE,MNAR,0.1,43,60,0.014054151285245483,0.9471611721611722,0.9505494505494506,60,0
MICE,MNAR,0.1,44,60,0.02032155928223147,0.948168498168498,0.9478021978021978,60,0
MICE,MNAR,0.1,45,60,0.028332277668379414,0.9313186813186812,0.9340659340659341,60,0
MICE,MNAR,0.1,46,60,0.033424590978060296,0.9155677655677655,0.9175824175824175,60,0
MICE,MNAR,0.1,47,60,0.020274845717928456,0.9493589743589743,0.9505494505494506,60,0
MICE,MNAR,0.1,48,60,0.025462470723530493,0.926831501831502,0.9340659340659341,60,0
MICE,MNAR,0.1,49,60,0.014747616247823368,0.9315934065934067,0.9395604395604396,60,0
MICE,MNAR,0.2,42,60,0.04833583868592909,0.8328754578754579,0.8406593406593407,60,0
MICE,MNAR,0.2,43,60,0.038404503046277357,0.8863553113553113,0.8901098901098902,60,0
MICE,MNAR,0.2,44,60,0.021490692395515796,0.9001831501831501,0.9120879120879121,60,0
MICE,MNAR,0.2,45,60,0.025383546890126535,0.9032967032967034,0.9065934065934067,60,0
MICE,MNAR,0.2,46,60,0.036395924394534526,0.8405677655677657,0.8406593406593407,60,0
MICE,MNAR,0.2,47,60,0.03300563672624229,0.8663003663003663,0.8763736263736264,60,0
MICE,MNAR,0.2,48,60,0.03826912300747294,0.8347985347985347,0.8379120879120879,60,0
MICE,MNAR,0.2,49,60,0.03460263418222513,0.8624542124542124,0.8681318681318682,60,0
MICE,MNAR,0.3,42,60,0.03673292006731509,0.8387362637362636,0.8351648351648352,60,0
MICE,MNAR,0.3,43,60,0.056643783336239234,0.6885531135531134,0.695054945054945,60,0
MICE,MNAR,0.3,44,60,0.05678084723632419,0.6705128205128207,0.6703296703296703,60,0
MICE,MNAR,0.3,45,60,0.055669251521534506,0.592032967032967,0.6071428571428572,60,0
MICE,MNAR,0.3,46,60,0.05655027435729003,0.7402014652014651,0.7472527472527472,60,0
MICE,MNAR,0.3,47,60,0.06639123273471818,0.5713369963369962,0.5686813186813187,60,0
MICE,MNAR,0.3,48,60,0.06891282588820398,0.6107142857142858,0.6263736263736264,60,0
MICE,MNAR,0.3,49,60,0.04388905421743079,0.8036630036630036,0.8214285714285714,60,0
