method,mechanism,rate,seed,nrmse,pfc,variant_filename,n_missing_cells_scored,n_continuous_cells_scored,n_categorical_cells_scored
KNN,MNAR,0.3,46,1.6008989955713808,0.8202247191011236,MNAR_rate30_seed46.csv,979,356,623
KNN,MNAR,0.3,47,1.5849983943364299,0.8234349919743178,MNAR_rate30_seed47.csv,979,356,623
KNN,MNAR,0.3,48,1.5839062988714203,0.812199036918138,MNAR_rate30_seed48.csv,979,356,623
KNN,MNAR,0.3,49,1.5899583497050729,0.8346709470304976,MNAR_rate30_seed49.csv,979,356,623
MICE,MAR,0.1,42,1.1256809096156584,0.5285714285714286,MAR_rate10_seed42.csv,330,120,210
MICE,MAR,0.1,43,0.9239136432113845,0.5095238095238095,MAR_rate10_seed43.csv,330,120,210
MICE,MAR,0.1,44,0.8977732819908945,0.5714285714285714,MAR_rate10_seed44.csv,330,120,210
MICE,MAR,0.1,45,1.005331876780739,0.5380952380952381,MAR_rate10_seed45.csv,330,120,210
MICE,MAR,0.1,46,0.9484018036355714,0.5523809523809524,MAR_rate10_seed46.csv,330,120,210
MICE,MAR,0.1,47,1.0621309066986302,0.47619047619047616,MAR_rate10_seed47.csv,330,120,210
MICE,MAR,0.1,48,0.9333938524424849,0.5428571428571428,MAR_rate10_seed48.csv,330,120,210
MICE,MAR,0.1,49,0.8872257320899308,0.5190476190476191,MAR_rate10_seed49.csv,330,120,210
MICE,MAR,0.2,42,1.0746374293130954,0.5399515738498789,MAR_rate20_seed42.csv,649,236,413
MICE,MAR,0.2,43,1.0263827909889014,0.5738498789346247,MAR_rate20_seed43.csv,649,236,413
MICE,MAR,0.2,44,1.0067076749364514,0.5447941888619855,MAR_rate20_seed44.csv,649,236,413
MICE,MAR,0.2,45,1.0012128041556185,0.5399515738498789,MAR_rate20_seed45.csv,649,236,413
MICE,MAR,0.2,46,1.0501278253717843,0.5472154963680388,MAR_rate20_seed46.csv,649,236,413
MICE,MAR,0.2,47,1.0926466451396188,0.5907990314769975,MAR_rate20_seed47.csv,649,236,413
MICE,MAR,0.2,48,1.0971292715690142,0.5399515738498789,MAR_rate20_seed48.csv,649,236,413
MICE,MAR,0.2,49,1.055966291516023,0.5520581113801453,MAR_rate20_seed49.csv,649,236,413
MICE,MAR,0.3,42,0.9924996494698052,0.5425361155698234,MAR_rate30_seed42.csv,979,356,623
MICE,MAR,0.3,43,1.0156130142817812,0.5634028892455859,MAR_rate30_seed43.csv,979,356,623
MICE,MAR,0.3,44,1.0488773919567072,0.5441412520064205,MAR_rate30_seed44.csv,979,356,623
MICE,MAR,0.3,45,1.0520982898901763,0.5858747993579454,MAR_rate30_seed45.csv,979,356,623
MICE,MAR,0.3,46,1.0008110802136947,0.550561797752809,MAR_rate30_seed46.csv,979,356,623
MICE,MAR,0.3,47,1.0287334879547525,0.5634028892455859,MAR_rate30_seed47.csv,979,356,623
MICE,MAR,0.3,48,1.0347126349561764,0.5601926163723917,MAR_rate30_seed48.csv,979,356,623
MICE,MAR,0.3,49,1.0233865119734593,0.5634028892455859,MAR_rate30_seed49.csv,979,356,623
MICE,MCAR,0.1,42,0.8072209554940524,0.44761904761904764,MCAR_rate10_seed42.csv,330,120,210
MICE,MCAR,0.1,43,0.9571789570174268,0.4238095238095238,MCAR_rate10_seed43.csv,330,120,210
MICE,MCAR,0.1,44,0.8270141879090572,0.48095238095238096,MCAR_rate10_seed44.csv,330,120,210
MICE,MCAR,0.1,45,0.8702303889878823,0.44761904761904764,MCAR_rate10_seed45.csv,330,120,210
MICE,MCAR,0.1,46,0.8970495379194452,0.5571428571428572,MCAR_rate10_seed46.csv,330,120,210
MICE,MCAR,0.1,47,0.9663458092599176,0.4380952380952381,MCAR_rate10_seed47.csv,330,120,210
MICE,MCAR,0.1,48,0.9920511032023492,0.4380952380952381,MCAR_rate10_seed48.csv,330,120,210
MICE,MCAR,0.1,49,0.8817178868081524,0.5047619047619047,MCAR_rate10_seed49.csv,330,120,210
MICE,MCAR,0.2,42,0.9217103227922147,0.4915254237288136,MCAR_rate20_seed42.csv,649,236,413
MICE,MCAR,0.2,43,0.7995297135252655,0.5108958837772397,MCAR_rate20_seed43.csv,649,236,413
MICE,MCAR,0.2,44,0.8689020176343201,0.4794188861985472,MCAR_rate20_seed44.csv,649,236,413
MICE,MCAR,0.2,45,0.9154029527593113,0.4721549636803874,MCAR_rate20_seed45.csv,649,236,413
MICE,MCAR,0.2,46,0.8719768477847978,0.4915254237288136,MCAR_rate20_seed46.csv,649,236,413
MICE,MCAR,0.2,47,0.9336751995527659,0.46973365617433416,MCAR_rate20_seed47.csv,649,236,413
MICE,MCAR,0.2,48,0.96873074899763,0.4891041162227603,MCAR_rate20_seed48.csv,649,236,413
MICE,MCAR,0.2,49,0.9534725103341208,0.47699757869249393,MCAR_rate20_seed49.csv,649,236,413
MICE,MCAR,0.3,42,0.9757203877705332,0.5024077046548957,MCAR_rate30_seed42.csv,979,356,623
MICE,MCAR,0.3,43,0.9833325234889834,0.49759229534510435,MCAR_rate30_seed43.csv,979,356,623
MICE,MCAR,0.3,44,1.0836018773895526,0.5056179775280899,MCAR_rate30_seed44.csv,979,356,623
MICE,MCAR,0.3,45,0.8953269206596164,0.48635634028892455,MCAR_rate30_seed45.csv,979,356,623
MICE,MCAR,0.3,46,1.02245175849395,0.48314606741573035,MCAR_rate30_seed46.csv,979,356,623
MICE,MCAR,0.3,47,0.8991400605337126,0.4911717495987159,MCAR_rate30_seed47.csv,979,356,623
MICE,MCAR,0.3,48,0.9840368013458789,0.5136436597110754,MCAR_rate30_seed48.csv,979,356,623
MICE,MCAR,0.3,49,1.026135814007555,0.48475120385232745,MCAR_rate30_seed49.csv,979,356,623
MICE,MNAR,0.1,42,1.3931396810772976,0.8047619047619048,MNAR_rate10_seed42.csv,330,120,210
MICE,MNAR,0.1,43,1.3786046127361158,0.8095238095238095,MNAR_rate10_seed43.csv,330,120,210
MICE,MNAR,0.1,44,1.3800920225758646,0.8095238095238095,MNAR_rate10_seed44.csv,330,120,210
MICE,MNAR,0.1,45,1.487795761258641,0.8714285714285714,MNAR_rate10_seed45.csv,330,120,210
MICE,MNAR,0.1,46,1.4237791743646566,0.8095238095238095,MNAR_rate10_seed46.csv,330,120,210
